yr,hr,holiday,workingday,temp,atemp,hum,windspeed,cnt,season_2,season_3,season_4,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weathersit_2,weathersit_3,weathersit_4
1,9.0,0,0.0,0.35,0.37270000000000003,0.9,0.1228400141060303,0.0044910179640718,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,2.0,0,1.0,0.3291666666666666,0.32730000000000004,0.8,0.2631950158692841,0.0179640718562874,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,13.0,0,0.0,0.7666666666666667,0.7212,0.49,0.3508875044081345,0.2050898203592814,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,7.0,0,1.0,0.6625000000000001,0.6303,1.0,0.1930175149876572,0.0044910179640718,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,7.0,0,1.0,0.6833333333333332,0.6455,0.98,0.1578699894204772,0.0029940119760479,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,9.0,0,1.0,0.5583333333333335,0.5545,0.74,0.0,0.125,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1,0.0,0,0.0,0.8291666666666666,0.7817999999999999,0.77,0.2280474903021041,0.187125748502994,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0,3.0,0,1.0,0.4125,0.403,1.0,0.2631950158692841,0.0074850299401197,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1,0.0,0,0.0,0.6625000000000001,0.6303,0.58,0.1578699894204772,0.1639221556886227,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
1,19.0,0,1.0,0.225,0.2061,0.54,0.6842600211590455,0.1010479041916167,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,6.0,0,1.0,0.7041666666666666,0.6152,1.0,0.0,0.0044910179640718,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
0,11.0,0,0.0,0.3291666666666666,0.35760000000000003,0.9,0.1053250264488068,0.0464071856287425,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,1.0,0,0.0,0.6,0.5848,0.51,0.1578699894204772,0.123502994011976,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0,,0,1.0,0.5791666666666667,0.5697,1.0,0.298224991183731,0.0112275449101796,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
0,16.0,0,1.0,0.6625000000000001,0.6303,0.52,0.4562125308569413,0.1474550898203593,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
0,2.0,0,1.0,0.8083333333333332,0.7666999999999999,0.9400000000000001,0.1578699894204772,0.0404191616766467,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,19.0,0,1.0,0.975,0.8423999999999999,0.41000000000000003,0.3508875044081345,0.2103293413173653,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0,20.0,0,1.0,0.7041666666666666,0.7061,0.43000000000000005,0.0,0.2896706586826347,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,8.0,0,1.0,0.85,0.7969999999999999,0.81,0.1053250264488068,0.0276946107784431,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
1,18.0,0,1.0,0.725,0.7061,0.8,0.1578699894204772,0.2275449101796407,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1,9.0,0,1.0,0.2875,0.35760000000000003,0.9,0.0,0.0119760479041916,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
0,3.0,0,1.0,0.5166666666666667,0.5242,0.73,0.333372516750911,0.0209580838323353,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,23.0,0,1.0,0.225,0.2515,1.0,0.1930175149876572,0.062125748502994,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0,6.0,0,1.0,0.49583333333333346,0.5091,1.0,0.0,0.0067365269461077,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
1,14.0,0,0.0,0.8083333333333332,0.7515,0.73,0.333372516750911,0.3390718562874252,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0,1.0,0,1.0,0.35,0.403,0.85,0.0,0.0523952095808383,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1,23.0,0,0.0,1.0,0.9182,0.52,0.1930175149876572,0.2058383233532934,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,12.0,0,1.0,0.6208333333333333,0.6,0.78,0.0,0.2537425149700599,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
