instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1.0,01/01/2011,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.81,0.0,3,13,16
2.0,01/01/2011,1.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,8,32,40
3.0,01/01/2011,1.0,0.0,1.0,2.0,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,5,27,32
4.0,01/01/2011,1.0,0.0,1.0,3.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,3,10,13
5.0,01/01/2011,1.0,0.0,1.0,4.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,0,1,1
6.0,01/01/2011,1.0,0.0,1.0,5.0,0.0,6.0,0.0,2.0,0.24,0.2576,0.75,0.12544,0,1,1
7.0,01/01/2011,1.0,0.0,1.0,6.0,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,2,0,2
8.0,01/01/2011,1.0,0.0,1.0,314.0,0.0,6.0,0.0,1.0,0.2,0.2576,0.86,0.0,1,2,3
9.0,01/01/2011,1.0,0.0,1.0,8.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,1,7,8
10.0,01/01/2011,1.0,0.0,1.0,9.0,0.0,6.0,0.0,1.0,0.32,0.3485,0.76,0.0,8,6,14
11.0,01/01/2011,1.0,0.0,1.0,10.0,0.0,6.0,0.0,1.0,0.38,0.3939,0.76,0.35517999999999994,12,24,36
12.0,01/01/2011,1.0,0.0,1.0,11.0,0.0,5.0,0.0,1.0,0.36,0.3333,0.81,0.39704,26,30,56
13.0,01/01/2011,1.0,0.0,1.0,12.0,0.0,6.0,0.0,1.0,0.46,0.4242,0.77,0.39704,29,55,84
14.0,01/01/2011,1.0,0.0,1.0,13.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.41789999999999994,47,47,94
15.0,01/01/2011,1.0,0.0,1.0,14.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.39704,35,71,106
16.0,01/01/2011,1.0,0.0,1.0,15.0,0.0,6.0,0.0,2.0,0.44,0.4394,0.77,0.41789999999999994,40,70,110
18.0,01/01/2011,1.0,0.0,1.0,17.0,0.0,5.0,0.0,2.0,0.44,0.4394,0.82,0.39704,15,52,67
19.0,01/01/2011,1.0,0.0,1.0,,,6.0,0.0,3.0,0.42,0.4242,0.88,0.35517999999999994,9,26,35
20.0,01/01/2011,1.0,0.0,1.0,19.0,0.0,6.0,0.0,3.0,0.42,0.4242,0.88,0.35517999999999994,6,31,37
21.0,01/01/2011,1.0,0.0,1.0,20.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.87,0.35517999999999994,11,25,36
22.0,01/01/2011,1.0,0.0,1.0,21.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.87,0.2716,3,31,34
23.0,01/01/2011,1.0,0.0,1.0,22.0,0.0,5.0,0.0,2.0,0.4,0.4091,0.94,0.31345999999999996,11,17,28
24.0,01/01/2011,1.0,0.0,1.0,23.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.88,0.41789999999999994,15,24,39
25.0,02/01/2011,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.88,0.41789999999999994,4,13,17
26.0,02/01/2011,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.44,0.4394,0.94,0.35517999999999994,1,16,17
27.0,02/01/2011,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.42,0.4242,1.0,0.39704,1,8,9
28.0,02/01/2011,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.2716,2,4,6
29.0,02/01/2011,1.0,0.0,1.0,4.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.94,0.2716,2,1,3
30.0,02/01/2011,1.0,0.0,1.0,,0.0,0.0,0.0,3.0,0.42,0.4242,0.77,0.41789999999999994,0,2,2
31.0,02/01/2011,1.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.4,0.4091,0.76,0.2716,0,1,1
32.0,02/01/2011,1.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,0.4,0.4091,0.71,0.31345999999999996,0,8,8
33.0,02/01/2011,1.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.38,0.3939,0.76,0.31345999999999996,1,19,20
34.0,02/01/2011,1.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,0.36,0.3485,0.81,0.31345999999999996,7,46,53
35.0,02/01/2011,1.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.71,0.41789999999999994,16,54,70
36.0,02/01/2011,1.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.66,0.41789999999999994,20,73,93
37.0,02/01/2011,1.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,0.36,0.3485,0.66,0.18802,11,64,75
38.0,02/01/2011,1.0,0.0,1.0,14.0,0.0,0.0,0.0,3.0,0.36,0.3485,0.76,0.2716,4,55,59
39.0,02/01/2011,1.0,0.0,1.0,15.0,0.0,0.0,0.0,3.0,0.34,0.3333,0.81,0.22988,19,55,74
40.0,02/01/2011,1.0,0.0,1.0,16.0,0.0,0.0,0.0,3.0,0.34,0.3333,0.71,0.22988,108,67,175
41.0,02/01/2011,1.0,0.0,1.0,17.0,,0.0,0.0,1.0,0.34,0.3333,0.46,0.2716,7,58,65
